日期,摄像头编号,采集地点,当日采集任务,采集时长
2026年2月19日,50-1af8,河南,整理洗漱用品,5.01
2026/2/19,55-4aa8,丰县,电池安装,5.09
2026/2/19,25-7088,丰县,整理碗筷,5.13
2026/2/19,19-c192,丰县,收拾桌面,4.68
2026/2/19,017-0af6,丰县,整理洗漱用品,5.0
2026年2月20日,67-f20e,济宁,折叠购物袋,5.07
2026年2月20日,14-1ec0,济宁,整理名片 / 会员卡/银行卡,5.1
2026年2月20日,110-082c,河南,整理碗筷,3.04
2026年2月20日,102-4f53,河南,整理鞋柜,2.5
2026年2月20日,50-1af8,河南,分拣乐高 / 积木零件,5.03
2026/2/20,104-3fff,丰县,穿鞋带,5.25
2026/2/20,017-0af6,丰县,穿鞋带,5.05
2026/2/20,101-6ea2,丰县,整理文件,6.66
2026/2/20,97-98a7,丰县,穿鞋带,3.33
2026/2/20,19-c192,丰县,,3.25
2026/2/20,58-63be,丰县,整理零食、调料或玩具,2.4
2026年2月21日,102-4f53,河南,整理鞋柜,2.23
2026/2/21,19-c192,丰县,书本收纳,5.04
2026/2/21,104-3fff,丰县,整理鞋柜,5.2
2026/2/21,101-6ea2,丰县,穿鞋带,5.18
2026/2/21,017-0af6,丰县,整理零食、调料或玩具,5.0
2026/2/21,58-63be,丰县,整理零食、调料或玩具,1.56
2026年2月21日,50-1af8,河南,用抹布擦拭碗盘,4.43
2026年2月21日,14-1ec0,济宁,折叠购物袋,5.05
2026年2月21日,67-f20e,济宁,整理名片 / 会员卡/银行卡,5.06
2026年2月21日,39-d877,济宁,整理名片 / 会员卡/银行卡,5.2
2026年2月22日,67-f20e,济宁,整理碗筷,5.04
2026年2月22日,14-1ec0,济宁,整理洗漱用品,5.09
2026年2月22日,39-d877,济宁,整理零食、调料或玩具,5.17
2026/2/22,101-6ea2,丰县,整理鞋柜,4.0
2026/2/22,08-9921,丰县,收拾桌面,5.0
2026/2/22,08-9921,丰县,整理洗漱用品,2.25
2026/2/22,104-3fff,丰县,用抹布擦拭碗盘,5.33
2026/2/22,017-0af6,丰县,整理鞋柜,4.02
2026/2/22,55-4aa8,丰县,整理文件,5.2
2026/2/22,25-7088,丰县,收拾桌面,5.1
2026年2月23日,102-4f53,河南,整理名片 / 会员卡/银行卡,2.03
2026/2/23,017-0af6,丰县,整理鞋柜,1.03
2026/2/23,08-9921,丰县,整理洗漱用品,2.8
2026/2/23,55-4aa8,丰县,收拾桌面,5.28
2026/2/23,25-7088,丰县,整理文件,5.18
2026年2月23日,67-f20e,济宁,整理洗漱用品,5.05
2026年2月23日,14-1ec0,济宁,整理碗筷,5.07
2026/2/24,25-7088,丰县,整理鞋柜,5.0
2026/2/24,55-4aa8,丰县,穿鞋带,5.1
2026/2/24,101-6ea2,丰县,用抹布擦拭碗盘,5.0
